round,train_loss,train_accuracy,global_test_accuracy,time_seconds,client_0_pers_acc,client_0_global_acc,client_1_pers_acc,client_1_global_acc,client_2_pers_acc,client_2_global_acc,client_3_pers_acc,client_3_global_acc
28,0.003122093901383983,0.9986846432094704,0.8084711441106986,38.82860326766968,0.9870298313878081,0.9883268482490273,0.9291187739463601,0.7509578544061303,0.9682539682539683,0.9523809523809523,0.9794816414686826,0.9622030237580994
29,0.00313246197991684,0.9984654170777156,0.8107211159860501,38.97084355354309,0.9922178988326849,0.9883268482490273,0.9310344827586207,0.7509578544061303,0.9523809523809523,0.9206349206349206,0.9827213822894169,0.9632829373650108
30,0.0031682649791034173,0.9984434944645401,0.7944088198897514,38.86038565635681,0.9909208819714657,0.9857328145265889,0.9195402298850575,0.6685823754789272,0.9365079365079365,0.9682539682539683,0.9870410367170627,0.9730021598272138
31,0.0030422943440642346,0.9985311849172421,0.8039712003599955,38.62610721588135,0.993514915693904,0.9818417639429312,0.9425287356321839,0.7145593869731801,0.9523809523809523,0.9523809523809523,0.9859611231101512,0.9654427645788337
32,0.002827431207810783,0.9987723336621724,0.8015524805939925,39.19984745979309,0.9922178988326849,0.9857328145265889,0.9329501915708812,0.7241379310344828,0.9523809523809523,0.9365079365079365,0.9848812095032398,0.9697624190064795
33,0.0028421459168355588,0.9986846432094706,0.808921138485769,38.97173094749451,0.9896238651102465,0.9792477302204928,0.9501915708812261,0.7222222222222222,0.9682539682539683,0.9841269841269841,0.9848812095032398,0.9730021598272138
34,0.0027404871276178293,0.9989038693412254,0.8107211159860501,39.05053949356079,0.9883268482490273,0.9844357976653697,0.946360153256705,0.7471264367816092,0.9523809523809523,0.9682539682539683,0.9859611231101512,0.9697624190064795
35,0.002639792078224749,0.9986407979831197,0.8131960850489369,39.30958151817322,0.9922178988326849,0.9792477302204928,0.9406130268199234,0.7547892720306514,0.9523809523809523,0.9682539682539683,0.9762419006479481,0.9730021598272138
36,0.002525899992814931,0.9989915597939274,0.8293711328608393,39.35056495666504,0.9909208819714657,0.9844357976653697,0.9348659003831418,0.7241379310344828,0.9682539682539683,0.9682539682539683,0.9859611231101512,0.9762419006479481
37,0.0025875192305926985,0.998794256275348,0.819461131735853,39.19435930252075,0.9896238651102465,0.9818417639429312,0.9367816091954023,0.735632183908046,0.9365079365079365,0.9841269841269841,0.9859611231101512,0.9751619870410367
38,0.0024354750937879465,0.9988381015016989,0.8274710316121049,38.4883246421814,0.993514915693904,0.9896238651102465,0.9578544061302682,0.7969348659003831,0.9523809523809523,0.9206349206349206,0.980561555075594,0.9611231101511879
39,0.002471165325692631,0.9989696371807519,0.825839802002475,39.04181385040283,0.9896238651102465,0.9870298313878081,0.9501915708812261,0.7854406130268199,0.9523809523809523,0.9365079365079365,0.9859611231101512,0.9740820734341252
40,0.0024729163558094235,0.9989477145675764,0.8311711103611204,38.92514657974243,0.9909208819714657,0.9857328145265889,0.946360153256705,0.7567049808429118,0.9523809523809523,0.9841269841269841,0.9827213822894169,0.9697624190064795
41,0.002251116005121871,0.9991011728598048,0.825277309033637,38.965731143951416,0.9896238651102465,0.9883268482490273,0.9406130268199234,0.8026819923371648,0.9841269841269841,0.9523809523809523,0.9848812095032398,0.9568034557235421
42,0.0023204027111582344,0.9988161788885234,0.8245584430194622,39.43433403968811,0.9922178988326849,0.9870298313878081,0.9540229885057471,0.7758620689655172,0.9682539682539683,0.9682539682539683,0.9848812095032398,0.9719222462203023
43,0.002273353469816667,0.9991669406993315,0.82863989200135,39.13615107536316,0.9922178988326849,0.9792477302204928,0.9482758620689655,0.7375478927203065,0.9682539682539683,0.9841269841269841,0.9848812095032398,0.978401727861771
44,0.0021909686908610066,0.9993203989915597,0.8231274609067387,39.11038303375244,0.9883268482490273,0.9870298313878081,0.9540229885057471,0.7145593869731801,0.9682539682539683,0.9841269841269841,0.9827213822894169,0.9654427645788337
45,0.0023630613408435375,0.9989696371807518,0.8273022837214535,39.15790057182312,0.9870298313878081,0.9844357976653697,0.9482758620689655,0.7701149425287356,0.9682539682539683,0.9841269841269841,0.9838012958963283,0.9740820734341252
46,0.0022606416217515017,0.9989915597939274,0.8409460006749916,38.75947022438049,0.9844357976653697,0.9818417639429312,0.9482758620689655,0.7701149425287356,0.9682539682539683,0.9841269841269841,0.9870410367170627,0.9827213822894169
47,0.0022740666040432828,0.9990354050202785,0.8238834514568568,39.24310779571533,0.9896238651102465,0.9870298313878081,0.9559386973180076,0.7950191570881227,0.9841269841269841,0.9682539682539683,0.9816414686825053,0.9697624190064795
48,0.0022119294579553165,0.9989696371807518,0.8397896276296546,38.71249604225159,0.9922178988326849,0.9870298313878081,0.9540229885057471,0.7911877394636015,0.9523809523809523,0.9682539682539683,0.9773218142548596,0.9708423326133909
49,0.0021563112435139505,0.9989038693412254,0.8227145910676117,39.03873801231384,0.9857328145265889,0.9818417639429312,0.9559386973180076,0.8295019157088123,0.9841269841269841,0.9365079365079365,0.9827213822894169,0.9730021598272138
